body,type,exact_answer,predicted_answers,TP,FP,FN
Which diseases can be treated with Itepekimab?,list,"[['asthma'], ['chronic obstructive pulmonary disease']]","[['asthma'], ['COPD'], ['Asthma']]",2,1,0
List the common retinal diseases associated with circRNAs.,list,"[['Diabetic retinopathy'], ['proliferative diabetic retinopathy'], ['retinal neovascular diseases'], ['retinal degeneraion']]","[['diabetes'], ['retinopathy'], ['diabetic retinopathy'], ['retinoblastoma'], ['oxygen-induced retinopathy']]",2,3,2
Which drugs are included in the CABENUVA pill?,list,"[['cabotegravir'], ['rilpivirine']]","[['Cabotegravir'], ['cabotegravir'], ['LA cabotegravir'], ['cabenuva (CAB+RPV) by Health Canada is']]",2,2,0
What methods are used to diagnose bowel endometriosis?,list,"[['Trans vaginal ultrasound'], ['Double-contrast barium enema'], ['endoscopic ultrasonography'], ['multidetector CT enema'], ['computed tomography colonoscopy'], ['MRI'], ['CT'], ['rectal endoscopic sonography (RES)'], ['Speckle sign']]","[['Transvaginal ultrasonography'], ['Laparoscopy'], ['Double-contrast barium enema'], ['magnetic resonance imaging'], ['opy'], ['imaging'], ['multislice computerized tomography (CT) combined with the distention of the colon by rectal enteroclysis (MSCTe)'], ['MEDLINE (1966-2010) and EMBASE']]",4,4,5
Which processes are affected by pathogenic SPTBN1 variants?,list,"[['βII-spectrin stability'], ['Disrupt binding to key molecular partners'], ['Disturb cytoskeleton organization and dynamics']]",[['central nervous system']],0,1,3
What are the phases of hair follicle cycle?,list,"[['anagen'], ['catagen'], ['telogen']]","[['telogen'], ['anagen'], ['telogen-anagen'], ['quiescent']]",3,1,0
What types of anti-tumor therapeutic antibodies are available?,list,"[['single-targeted antibodies'], ['bi-specific antibodies', 'BsAbs'], ['antibody-drug conjugates', 'ADCs']]",[['single-targeted antibodies']],1,0,2
List second messengers.,list,"[['Cyclic adenosine monophosphate'], ['Ceramide'], ['Cyclic diguanylate'], ['Nitric oxide'], ['Calcium'], ['Diacylglycerol']]","[['ceramide'], ['Cyclic adenosine monophosphate'], ['Diacylglycerol'], ['cAMP'], ['diguanylate'], ['nitric oxide'], ['adenosine'], ['neurotransmitter']]",5,3,1
Which transporter is inhibited by Sotagliflozin?,list,"[['sodium-glucose co-transporter 1'], ['sodium-glucose co-transporter 2']]","[['glucose'], ['SGLT2'], ['SGLT']]",1,2,1
Which syndromes are caused by LAMA1 mutations?,list,"[['Poretti-Boltshauser syndrome'], ['Joubert syndrome']]","[['Poretti-Boltshauser syndrome'], ['Joubert syndrome']]",2,0,0
Which VKORC1 genotypes are associated with a need for lower warfarin maintenance dose?,list,"[['VKORC1-1639GA', '1639GA', 'GA'], ['VKORC1-1639GA', '1639AA', 'AA']]",[['VKORC1-1639GA']],1,0,1
Which R/bioconductor have been developed for copy number analysis?,list,"[['CNVRanger'], ['seqCNA'], ['iGC'], ['PLRS'], ['SomatiCA'], ['Copynumber'], ['crlmm'], ['KC-SMARTR']]","[['KC-SMART'], ['SomatiCA'], ['CNVRanger'], ['PLRS'], ['seqCNA'], ['crlmm'], ['iGC'], ['R package copynumber']]",7,1,1
Which neuropsychiatric disorders are associated with 16p13.11 genomic copy number variants?,list,"[['schizophrenia'], ['autism'], ['mental retardation'], ['ADHD'], ['epilepsy']]",[['epilepsy']],1,0,4
List the main protein families found in human tears?,list,"[['Lipocalin'], ['Cystatin S'], ['calcyclin'], ['calgranulin A'], ['matrix metalloproteinase 9'], ['LTF'], ['LYZ'], ['ZAG'], ['DNAJC3']]","[['Tear lipocalin'], ['calcyclin'], ['LTF']]",3,0,6
List 4 monoclonal antibodies in development for the prevention of migraine.,list,"[['ALD403', 'eptinezumab'], ['AMG334', 'erenumab'], ['LY2951742', 'galcanezumab'], ['TEV-48125', 'fremanezumab']]",[['ALD403']],1,0,3
